optimizer,num_channels,learning_rate,epochs,batch_size,use_residuals,use_bottleneck,shortcut_activation,reg_shortcut,reg_module,output_activation,num_filters,nr_modules,module_output_activation,module_activation,l2_r,l1_r,kernel_size,bottleneck_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
adam,3,0.001,100,128,True,True,relu,True,False,sigmoid,24,21,relu,softmax,0.0001,0.001,20,30,0.655457735062,0.937364220619,0.952025055885,0.968081772327,0.764632403851,0.890111446381,0.907031238079,0.924757659435
rmsprop,3,0.01,100,1536,True,True,relu,True,True,sigmoid,40,18,tanh,softmax,0.0001,0.0,40,34,0.819573402405,0.948202311993,0.566349625587,0.133169770241,0.812038064003,0.944773197174,0.574435770512,0.141193807125
adam,3,0.001,100,1024,True,False,relu,True,True,sigmoid,26,18,linear,sigmoid,0.0,0.0001,60,34,0.987847805023,0.989533543587,0.990305125713,0.9909709692,1.18615460396,0.934708416462,0.929462134838,0.920855641365
sgd,3,0.001,100,128,True,True,relu,True,True,sigmoid,34,3,linear,softmax,0.0,0.1,20,28,7.61628389359,0.923934221268,0.546198129654,0.0941430330276,7.65214300156,0.930163443089,0.550284087658,0.0905802324414
rmsprop,3,0.01,100,128,True,True,relu,False,True,sigmoid,40,21,linear,softmax,0.01,0.0001,30,38,3.96860671043,0.951113283634,0.529515445232,0.0557810775936,3.93305158615,0.962686538696,0.535582363605,0.055997684598
adam,3,0.001,100,256,True,True,tanh,True,True,sigmoid,24,1,relu,sigmoid,0.001,0.0,30,28,0.331562310457,0.872834146023,0.877298653126,0.881287097931,0.346549957991,0.861310780048,0.873295426369,0.884242534637
sgd,3,0.001,100,512,True,True,relu,True,False,sigmoid,24,15,relu,linear,0.0001,0.0,20,42,0.73820400238,0.914568066597,0.577134311199,0.163568988442,0.731054604053,0.926634788513,0.586588561535,0.171260133386
adam,3,0.01,75,512,False,False,relu,True,True,sigmoid,28,12,tanh,relu,0.0,0.0001,20,38,2.99796009064,0.496843874454,0.496843874454,1.0,2.99840283394,0.490813076496,0.490813076496,1.0
rmsprop,3,0.001,75,512,False,True,softmax,False,True,sigmoid,32,12,tanh,relu,0.0001,0.0,30,30,0.676812708378,0.502997398376,0.509312748909,0.98301076889,0.694907605648,0.496608287096,0.502604186535,0.981871783733
sgd,3,0.001,100,512,True,False,relu,True,True,sigmoid,32,9,sigmoid,relu,0.0,0.01,50,28,17.3765773773,0.564357221127,0.615149438381,0.98754876852,17.3820514679,0.556344509125,0.606770813465,0.98157697916
rmsprop,3,0.001,100,512,False,False,relu,False,True,sigmoid,34,3,relu,tanh,0.01,0.001,20,28,4.42819404602,0.781690478325,0.845236063004,0.954956233501,4.4326300621,0.77407759428,0.840205430984,0.952394962311
sgd,3,0.001,75,512,True,False,relu,True,False,sigmoid,38,3,relu,relu,0.001,0.001,30,38,7.05032348633,0.974442958832,0.544001936913,0.0846931487322,7.04422712326,0.938337802887,0.556495964527,0.10316875577
rmsprop,3,0.001,75,128,False,True,softmax,True,True,sigmoid,34,9,linear,relu,0.001,0.0001,40,40,1.09342944622,0.496798843145,0.496798843145,1.0,1.09549736977,0.490838080645,0.490838080645,1.0
sgd,3,0.1,100,128,True,True,softmax,False,True,sigmoid,42,1,tanh,relu,0.0001,0.001,50,30,0.886877655983,0.806429207325,0.852013766766,0.923795461655,0.893865942955,0.800501227379,0.849786937237,0.924323558807
adam,3,0.001,75,1024,True,True,relu,True,True,sigmoid,40,3,sigmoid,linear,0.0001,0.1,60,42,22.4009838104,0.492756307125,0.488918125629,0.981679856777,22.3996200562,0.487941741943,0.484450131655,0.983040511608
sgd,3,0.01,75,128,True,True,tanh,False,True,sigmoid,36,1,relu,softmax,0.01,0.0001,50,42,0.389134675264,0.916332542896,0.860771119595,0.79191160202,0.382849216461,0.916292965412,0.865198850632,0.798292577267
sgd,3,0.001,75,512,False,True,softmax,False,True,sigmoid,42,18,tanh,relu,0.01,0.001,50,40,53.7339706421,0.497347265482,0.497721344233,0.995728433132,53.7475128174,0.490918338299,0.491102427244,0.995873272419
adam,3,0.001,75,512,True,True,relu,False,True,sigmoid,40,21,relu,sigmoid,0.01,0.0,30,40,0.554571986198,0.749717473984,0.803442001343,0.907213270664,0.581800758839,0.725705325603,0.780020236969,0.887103915215
rmsprop,3,0.001,100,1536,False,True,relu,True,True,sigmoid,30,12,softmax,relu,0.0,0.01,30,32,4.13963794708,0.0,0.502788186073,0.0,4.13950872421,0.0,0.509186923504,0.0
adam,3,0.1,75,128,True,False,relu,True,True,sigmoid,24,1,relu,softmax,0.001,0.0001,40,30,10.693277359,0.510365784168,0.523183643818,0.987508893013,10.7008619308,0.504260182381,0.517329573631,0.984806835651
sgd,3,0.01,100,1024,False,False,tanh,False,False,sigmoid,42,6,relu,relu,0.01,0.001,30,36,0.693479657173,0.80075186491,0.508024811745,0.0121433250606,0.692795991898,0.805555582047,0.513296246529,0.0132925901562
sgd,3,0.01,75,512,True,True,relu,True,False,sigmoid,38,21,relu,linear,0.1,0.0001,60,36,1.96065354347,0.497219204903,0.497862875462,0.993673205376,1.99092781544,0.490918368101,0.491174757481,0.99189388752
sgd,3,0.1,100,128,True,True,softmax,True,False,sigmoid,26,1,relu,relu,0.01,0.01,30,32,0.49740126729,0.797000527382,0.83998477459,0.909594118595,0.473297685385,0.790843904018,0.837642073631,0.909853875637
adam,3,0.001,75,512,False,True,relu,False,True,sigmoid,24,18,relu,linear,0.01,0.01,50,38,4.12386083603,0.0,0.503241062164,0.0,4.11622333527,0.0,0.509186923504,0.0
rmsprop,3,0.001,75,512,True,True,relu,True,True,sigmoid,34,12,relu,linear,0.001,0.001,50,30,1.83796370029,0.980501115322,0.762582063675,0.53279787302,1.87492442131,0.97625619173,0.758752882481,0.52114957571
sgd,3,0.01,100,1024,True,True,relu,True,True,sigmoid,34,9,softmax,softmax,0.001,0.0,20,40,2.32466340065,0.960328698158,0.706266999245,0.42625939846,2.33303761482,0.952233672142,0.7060546875,0.423376619816
sgd,3,0.1,100,512,True,True,relu,True,True,sigmoid,26,9,tanh,sigmoid,0.01,0.0,60,32,0.826192617416,0.784646570683,0.845052063465,0.948310256004,0.844972491264,0.759125828743,0.821397542953,0.931761264801
sgd,3,0.01,100,512,True,True,relu,True,True,sigmoid,32,12,relu,sigmoid,0.001,0.1,20,32,74.963760376,0.454545468092,0.503509938717,0.000142535413033,74.9636306763,1.0,0.509331583977,0.000294767873129
adam,3,0.001,75,1536,True,True,relu,False,True,sigmoid,36,12,linear,tanh,0.0,0.001,30,34,0.640337347984,0.966239929199,0.976491749287,0.987260043621,0.875368595123,0.899434864521,0.907986104488,0.914812088013
adam,3,0.001,100,1024,False,False,softmax,True,True,sigmoid,40,3,relu,sigmoid,0.01,0.01,40,38,23.2127189636,0.496858030558,0.496858030558,1.0,23.2158851624,0.491661667824,0.491661667824,1.0
adam,3,0.01,100,512,True,True,relu,False,True,sigmoid,24,3,softmax,sigmoid,0.0001,0.0001,60,32,0.765641152859,0.947592079639,0.610167562962,0.228535637259,0.72217297554,0.942178964615,0.614293992519,0.228150337934
adam,3,0.1,100,1536,True,True,relu,True,True,sigmoid,24,3,relu,sigmoid,0.01,0.0,60,34,0.990354776382,0.949680626392,0.862715125084,0.76366853714,0.996389746666,0.935836672783,0.855107069016,0.756669104099
adam,3,0.001,100,128,True,True,relu,False,False,sigmoid,44,18,linear,softmax,0.01,0.01,50,28,0.192817226052,0.95554882288,0.927938878536,0.89670830965,0.279871702194,0.925239443779,0.900213062763,0.866734206676
adam,3,0.001,75,512,True,True,relu,True,True,sigmoid,30,15,tanh,sigmoid,0.01,0.0,60,42,0.480921417475,0.897027134895,0.909972250462,0.924959421158,0.513941764832,0.876348674297,0.892722785473,0.909801006317
rmsprop,3,0.001,75,1024,True,True,relu,True,True,sigmoid,28,18,sigmoid,relu,0.0001,0.01,30,38,10.5322780609,0.496461719275,0.496461719275,1.0,10.5359611511,0.491661667824,0.491661667824,1.0
adam,3,0.001,100,256,False,True,sigmoid,False,True,sigmoid,30,1,relu,tanh,0.0,0.01,20,30,0.997457802296,0.916771531105,0.830353140831,0.724123239517,1.01651656628,0.903715908527,0.822443187237,0.714368402958
sgd,3,0.1,75,1536,False,True,sigmoid,True,True,sigmoid,42,6,relu,relu,0.001,0.01,40,34,6.98026227951,0.0,0.503156125546,0.0,6.9766869545,0.0,0.509186923504,0.0
sgd,3,0.001,75,512,True,True,tanh,False,False,sigmoid,34,1,relu,relu,0.0001,0.001,60,36,0.609392702579,0.951482057571,0.734445750713,0.490803480148,0.613986551762,0.949634194374,0.740379035473,0.497420787811
adam,3,0.01,75,512,True,False,relu,True,False,sigmoid,28,9,softmax,tanh,0.001,0.0,30,42,0.291991353035,0.986092746258,0.972330749035,0.957794249058,0.488011687994,0.935703217983,0.917028367519,0.892262339592
adam,3,0.001,75,512,True,True,relu,True,True,sigmoid,28,9,tanh,tanh,0.1,0.0001,30,38,0.720650196075,0.94599455595,0.896540999413,0.839617013931,0.762601554394,0.9273468256,0.873408555984,0.805158436298
sgd,3,0.01,75,512,True,True,softmax,False,True,sigmoid,36,1,linear,relu,0.001,0.01,60,30,0.967903017998,0.928207933903,0.679645061493,0.384678959846,0.967995107174,0.9299929142,0.684244811535,0.385703772306
rmsprop,3,0.001,100,1536,False,True,sigmoid,True,True,sigmoid,28,18,relu,softmax,0.0001,0.001,60,26,1.48579478264,0.0,0.502618312836,0.0,1.48554825783,0.0,0.509186923504,0.0
sgd,3,0.01,75,512,False,True,softmax,False,True,sigmoid,42,1,relu,sigmoid,0.01,0.01,60,34,0.870930075645,0.919114351273,0.71332937479,0.463655799627,0.869520127773,0.924403548241,0.722800910473,0.473986744881
adam,3,0.001,100,128,True,True,relu,True,False,sigmoid,28,3,relu,softmax,0.0001,0.01,40,38,1.19009494781,0.982133984566,0.942393362522,0.900417268276,1.34549295902,0.948018610477,0.905823886395,0.855013728142
adam,3,0.001,75,128,True,True,relu,False,True,sigmoid,38,21,sigmoid,tanh,0.0001,0.0,60,28,0.337540209293,0.968322217464,0.89011734724,0.805171608925,0.353183358908,0.961438715458,0.888210237026,0.804514527321
sgd,3,0.01,75,256,False,False,softmax,True,True,sigmoid,30,21,relu,sigmoid,0.001,0.001,50,38,0.782782495022,0.871660470963,0.917122602463,0.977036595345,0.877303659916,0.838668525219,0.886363625526,0.951526522636
rmsprop,3,0.001,75,1024,True,False,relu,True,False,sigmoid,26,15,relu,linear,0.001,0.01,60,32,3.54083156586,0.818427205086,0.884029686451,0.985009551048,3.68024802208,0.755965292454,0.827448904514,0.9584415555
sgd,3,0.001,100,1024,False,True,relu,False,True,sigmoid,40,18,relu,relu,0.01,0.0,60,26,25.201997757,0.632731497288,0.68120187521,0.853744029999,25.1958713531,0.63300794363,0.686448335648,0.862032055855
