use_layerwise_dropout_batchnorm,second_dense_units,padding,output_layer_activation,optimizer,num_layers,num_filters,learning_rate,l2_r,l1_r,growth_sequence,first_dense_units,filter_size,epochs,dropout_rate,dropout_T_bn_F,dense_activation,cnn_activation,batch_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall,confusion_matrix
False,158,same,sigmoid,adam,1,68,0.005,0.001,0.1,[1],296,78,50,0.001,True,tanh,relu,256,1.68232047558,0.498584002256,0.498584002256,1.0,1.78062415123,0.0769977346063,0.0769977346063,1.0,"[[   0 3074]
 [   0  254]]"
False,166,same,sigmoid,sgd,1,74,0.005,0.0,0.0001,[1],284,54,50,0.001,False,tanh,relu,64,0.599494040012,0.727146625519,0.749717473984,0.679795026779,0.589385926723,0.747896671295,0.177508279681,0.633858263493,"[[2308  766]
 [ 116  138]]"
False,274,same,sigmoid,adam,3,64,0.01,0.1,0.001,"[1, 4, 8]",274,58,50,0.2,False,relu,relu,128,9.3434419632,0.498685777187,0.498685777187,1.0,9.34505367279,0.0763221159577,0.0763221159577,1.0,"[[   0 3074]
 [   0  254]]"
False,150,same,sigmoid,adam,1,74,0.0025,0.0001,0.01,[1],256,40,50,0.001,True,relu,tanh,128,0.733299434185,0.498685777187,0.498685777187,1.0,0.836496293545,0.0763221159577,0.0763221159577,1.0,"[[   0 3074]
 [   0  254]]"
True,268,same,sigmoid,sgd,1,68,0.0025,0.01,0.1,[1],274,44,50,0.1,False,tanh,tanh,64,0.721717894077,0.512022972107,0.935146391392,0.0218411013484,0.719098806381,0.923677921295,0.400000035763,0.0239043831825,"[[3065    9]
 [ 248    6]]"
True,156,same,sigmoid,sgd,2,72,0.0001,0.1,0.001,"[1, 4]",286,40,50,0.0,False,relu,tanh,256,17.3348255157,0.857250988483,0.855372309685,0.858766496181,17.4700813293,0.765625,0.207276746631,0.755020141602,"[[2318  756]
 [  82  172]]"
False,204,same,sigmoid,adam,2,78,0.0025,0.001,0.0001,"[1, 2]",250,74,50,0.0,False,relu,relu,128,0.71301561594,0.498685777187,0.498685777187,1.0,0.720180809498,0.0763221159577,0.0763221159577,1.0,"[[   0 3074]
 [   0  254]]"
False,262,same,sigmoid,sgd,3,72,0.005,0.001,0.0,"[1, 2, 4]",262,54,50,0.001,False,relu,tanh,128,0.715132594109,0.807510733604,0.809831082821,0.802440226078,0.677591860294,0.794170677662,0.237125754356,0.804878115654,"[[2443  631]
 [  68  186]]"
False,168,same,sigmoid,sgd,3,64,0.0001,0.001,0.1,"[1, 4, 8]",252,74,50,0.001,False,relu,tanh,64,1064.35241699,0.516282141209,0.763045370579,0.0435334332287,1064.34863281,0.911959171295,0.132075473666,0.0275590550154,"[[3028   46]
 [ 246    8]]"
True,216,same,sigmoid,sgd,2,68,0.0025,0.01,0.0001,"[1, 8]",270,68,50,0.2,False,relu,relu,256,2.77900147438,0.8652099967,0.924457371235,0.794584274292,2.75308394432,0.859975993633,0.318493157625,0.732283473015,"[[2654  420]
 [  89  165]]"
False,284,same,sigmoid,adam,2,68,0.0025,0.0,0.001,"[1, 2]",284,58,50,0.2,True,tanh,relu,64,0.773762106895,0.498685777187,0.498685777187,1.0,0.795119285583,0.0760216340423,0.0760216340423,1.0,"[[   0 3074]
 [   0  254]]"
