optimizer,num_layers,learning_rate,epochs,batch_size,use_layerwise_dropout_batchnorm,start_neurons,padding,output_layer_activation,l2_r,l1_r,kernel_size,filters,dropout_rate,decay_sequence,activation,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
adam,3,0.001,50,128,True,130,same,sigmoid,0.1,0.0001,82,46,0.2,"[1, 1, 1]",tanh,0.727885484695,0.508171081543,0.0,0.0,0.727832794189,0.510886311531,0.0,0.0
sgd,3,0.01,50,256,True,250,same,sigmoid,0.01,0.01,54,34,0.3,"[1, 2, 4]",relu,0.743017613888,0.534436702728,0.514674842358,0.965887725353,0.74496537447,0.531770884991,0.511167287827,0.969107925892
sgd,1,0.001,50,256,False,160,same,sigmoid,0.01,0.2,12,40,0.0,[1],relu,2.73150229454,0.516421675682,0.508305668831,0.464437127113,2.7317032814,0.517968773842,0.512244284153,0.469500929117
rmsprop,4,0.0001,50,128,True,120,same,sigmoid,0.01,0.001,18,54,0.2,"[1, 4, 8, 8]",softmax,0.693551063538,0.50819671154,0.0,0.0,0.69342893362,0.511910915375,0.0,0.0
adam,5,0.0001,50,256,False,280,same,sigmoid,0.1,0.01,94,50,0.01,"[1, 0.5, 0.25, 0.25, 0.5]",softmax,1.78779459,0.508532047272,0.0,0.0,1.78772377968,0.511979222298,0.0,0.0
adam,4,0.001,50,64,True,290,same,sigmoid,0.0001,0.2,4,38,0.1,"[1, 0.5, 0.25, 0.25]",relu,4.28854417801,0.507927596569,0.0,0.0,4.28877258301,0.502945721149,0.0,0.0
sgd,1,0.0001,50,64,False,100,same,sigmoid,0.0001,0.1,74,38,0.001,[1],tanh,3.28540635109,0.501227498055,0.490922898054,0.403861165047,3.2860558033,0.498847365379,0.483731001616,0.409926503897
sgd,1,0.0001,50,128,True,190,same,sigmoid,0.1,0.001,36,22,0.0,[1],relu,1.11008310318,0.506480515003,0.497944653034,0.429032742977,1.10998058319,0.508324801922,0.509382605553,0.431427836418
sgd,1,0.0001,50,64,False,200,same,sigmoid,0.3,0.01,56,76,0.2,[1],relu,1.55259549618,0.522018194199,0.512520492077,0.569541275501,1.55401039124,0.524846315384,0.521697461605,0.559239268303
sgd,2,0.0001,50,256,True,210,same,sigmoid,0.2,0.01,66,40,0.001,"[1, 1]",relu,26.9615440369,0.507735431194,0.499181032181,0.84561830759,26.9560756683,0.517317712307,0.510379254818,0.851562559605
sgd,3,0.01,50,128,True,270,same,sigmoid,0.1,0.2,78,56,0.1,"[1, 2, 4]",relu,16.9904975891,0.56086063385,0.531833946705,0.888662993908,16.9903469086,0.564549207687,0.533105909824,0.898353815079
sgd,5,0.01,50,128,True,170,same,sigmoid,0.0001,0.0001,82,18,0.001,"[1, 0.5, 0.25, 0.25, 0.5]",relu,1.59878945351,0.516726434231,0.504466533661,0.985209822655,1.59902739525,0.515881180763,0.503407716751,0.983294248581
sgd,4,0.01,50,64,True,120,same,sigmoid,0.3,0.2,4,28,0.01,"[1, 0.5, 0.25, 0.25]",relu,17.145608902,0.508208870888,0.814814805984,0.00114297587425,17.1466636658,0.502689599991,0.75,0.000772200815845
rmsprop,5,0.0001,50,256,True,100,same,sigmoid,0.01,0.0001,38,60,0.3,"[1, 2, 4, 4, 2]",softmax,0.693292796612,0.50850635767,0.0,0.0,0.693149149418,0.512630224228,0.0,0.0
sgd,1,0.0001,50,64,False,160,same,sigmoid,0.3,0.3,40,64,0.2,[1],relu,0.707454681396,0.508950471878,0.592105269432,0.00234179850668,0.70747667551,0.49910351634,0.411764711142,0.00179119757377
