optimizer,num_layers,learning_rate,epochs,batch_size,use_layerwise_dropout_batchnorm,start_neurons,padding,output_layer_activation,l2_r,l1_r,kernel_size,filters,dropout_rate,decay_sequence,activation,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
sgd,1,0.1,30,64,True,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,0.157645627856,0.952902436256,0.978699207306,0.924956440926,0.209425985813,0.936375200748,0.960768401623,0.908648908138
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,52,64,0.001,[1],relu,0.0988127067685,0.964740216732,0.966740489006,0.961837887764,0.190106570721,0.942205309868,0.946687400341,0.936028659344
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,52,69,0.001,[1],relu,0.0790510028601,0.97665399313,0.977904498577,0.974848866463,0.25837033987,0.939797222614,0.946191847324,0.931422710419
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,52,72,0.001,[1],relu,,,,,,,,
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,52,76,0.001,[1],relu,0.161925151944,0.949074804783,0.978053152561,0.9176825881,0.221022725105,0.934854269028,0.966208815575,0.899948835373
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,52,79,0.001,[1],relu,0.109224431217,0.964664161205,0.981410622597,0.946521878242,0.206137374043,0.938910007477,0.955100953579,0.919907867908
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,52,84,0.001,[1],relu,,,,,,,,
sgd,1,0.1,50,64,True,290,same,sigmoid,0.3,0.0001,52,74,0.001,[1],relu,0.106866523623,0.967021584511,0.983187556267,0.949595332146,0.257596880198,0.936755418777,0.956358730793,0.914022505283
sgd,1,0.1,50,64,True,290,same,sigmoid,0.001,0.0001,52,74,0.001,[1],relu,0.160442247987,0.943954408169,0.951772034168,0.934074342251,0.21038594842,0.927249670029,0.932089149952,0.920163750648
sgd,1,0.1,50,64,True,290,same,sigmoid,0.01,0.0001,52,74,0.001,[1],relu,0.160605356097,0.947097599506,0.955245673656,0.93699413538,0.204839646816,0.928517103195,0.932041287422,0.922978520393
sgd,1,0.1,50,64,True,290,same,sigmoid,0.05,0.0001,52,74,0.001,[1],relu,0.0675379931927,0.978250980377,0.986193597317,0.969623982906,0.355693548918,0.938529789448,0.954581737518,0.919651985168
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,0.0904787629843,0.969784557819,0.973986327648,0.964706480503,0.229618892074,0.943853020668,0.952467978001,0.933213889599
sgd,1,0.1,50,64,True,295,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,0.101528137922,0.965855538845,0.967536091805,0.963323414326,0.186812654138,0.940937936306,0.943099915981,0.937308073044
sgd,1,0.1,50,64,True,300,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,0.0595754943788,0.9800760746,0.987510383129,0.972031533718,0.243550002575,0.946514606476,0.956282734871,0.934749245644
sgd,1,0.1,50,64,True,275,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,0.117198683321,0.960228145123,0.957308113575,0.96255505085,0.220632180572,0.933206617832,0.929824531078,0.935772776604
sgd,1,0.1,50,64,True,280,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,0.0911092981696,0.967122972012,0.973893582821,0.959276676178,0.259279131889,0.935614705086,0.94713306427,0.921443164349
