optimizer,num_channels,learning_rate,epochs,batch_size,use_residuals,use_bottleneck,shortcut_activation,reg_shortcut,reg_module,output_activation,num_filters,nr_modules,module_output_activation,module_activation,l2_r,l1_r,kernel_size,bottleneck_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall,train_f1,val_f1
adam,3.0,0.01,75,256,True,True,softmax,False,True,sigmoid,26,12,softmax,relu,0.0001,0.0001,30,42,0.809136390686,0.492523699999,0.494204670191,0.986829638481,0.808976888657,0.49153521657,0.493733733892,0.989361703396,0.658588140956,0.658732048803
adam,3.0,0.001,75,128,False,True,relu,False,False,sigmoid,32,6,tanh,softmax,0.01,0.001,60,42,0.676233589649,0.524281144142,0.534173667431,0.552959561348,0.68264234066,0.520920157433,0.53149163723,0.554205000401,0.543404302264,0.54261073087
rmsprop,3.0,0.001,100,512,False,False,softmax,False,True,sigmoid,30,3,softmax,relu,0.01,0.1,60,28,972.585754395,0.0,0.509125232697,0.0,972.585510254,0.0,0.510416686535,0.0,0.0,0.0
rmsprop,3.0,0.01,100,128,False,True,sigmoid,False,True,sigmoid,36,9,relu,tanh,0.0,0.001,40,38,4.30511236191,0.0,0.509458065033,0.0,4.30509376526,0.0,0.509664952755,0.0,0.0,0.0
adam,3.0,0.01,100,1536,True,True,tanh,True,True,sigmoid,40,18,tanh,linear,0.01,0.1,50,28,399.338470459,0.0,0.509082019329,0.0,399.338348389,0.0,0.510416686535,0.0,0.0,0.0
rmsprop,3.0,0.1,100,1024,False,False,tanh,False,True,sigmoid,38,3,tanh,sigmoid,0.0,0.0001,60,38,86.7801971436,0.490170329809,0.490170329809,1.0,86.7803726196,0.489583343267,0.489583343267,1.0,0.657871546633,0.657342666297
sgd,3.0,0.01,100,1024,True,False,relu,True,True,sigmoid,24,18,sigmoid,sigmoid,0.01,0.01,30,38,5.8556394577,0.0,0.509317338467,0.0,5.85566663742,0.0,0.510416686535,0.0,0.0,0.0
sgd,3.0,0.1,75,256,True,True,relu,True,True,sigmoid,32,1,linear,linear,0.01,0.1,50,32,141.229690552,0.499045193195,0.50741225481,0.946180462837,141.231155396,0.495310723782,0.501708984375,0.939328432083,0.660575078943,0.654069780941
adam,3.0,0.01,100,512,True,False,tanh,False,False,sigmoid,42,12,relu,relu,0.001,0.001,60,34,0.680291831493,0.524059891701,0.536581099033,0.601762413979,0.682149231434,0.521175980568,0.53409832716,0.595246016979,0.567305622176,0.563016769096
adam,3.0,0.1,100,512,True,False,tanh,True,True,sigmoid,40,18,relu,linear,0.01,0.1,60,28,42393.6601562,0.490897744894,0.490874737501,0.999836921692,42393.6640625,0.48962149024,0.489664703608,0.999833762646,0.658470313092,0.657380070051
rmsprop,3.0,0.001,75,256,True,False,sigmoid,False,False,sigmoid,26,3,sigmoid,linear,0.01,0.01,50,28,0.673978209496,0.536651492119,0.534691989422,0.380854547024,0.677642822266,0.542404055595,0.54044598341,0.392287224531,0.444848770264,0.454599564025
adam,3.0,0.01,100,1024,True,True,softmax,False,True,sigmoid,44,18,softmax,softmax,0.0001,0.0001,40,38,1.00612568855,0.0,0.50898116827,0.0,1.00598216057,0.0,0.510416686535,0.0,0.0,0.0
sgd,3.0,0.01,75,512,False,True,relu,True,False,sigmoid,30,6,relu,softmax,0.01,0.01,20,36,0.692630946636,0.0,0.509349405766,0.0,0.692606627941,0.0,0.510416686535,0.0,0.0,0.0
rmsprop,3.0,0.01,100,256,True,True,relu,True,False,sigmoid,38,9,tanh,sigmoid,0.1,0.0,60,36,2.964656353,0.492006778717,0.493292123079,0.983371913433,2.96514439583,0.489396959543,0.489583343267,0.982047855854,0.657007426143,0.653416797367
sgd,3.0,0.1,100,1536,True,True,relu,True,True,sigmoid,42,6,softmax,relu,0.001,0.01,20,40,9.10206985474,0.497037500143,0.503483057022,0.968001842499,9.10166931152,0.497404038906,0.50545245409,0.97140955925,0.662422736411,0.664925146986
sgd,3.0,0.001,100,1536,False,True,tanh,True,True,sigmoid,34,9,sigmoid,softmax,0.0,0.001,40,32,24.4321308136,0.0,0.509114563465,0.0,24.4321060181,0.0,0.510416686535,0.0,0.0,0.0
adam,3.0,0.1,100,1536,False,True,relu,True,True,sigmoid,38,1,linear,sigmoid,0.0001,0.01,20,34,31.858707428,0.490272700787,0.490315765142,0.999834001064,31.8588466644,0.489702880383,0.489827483892,1.0,0.657966580762,0.657562689893
rmsprop,3.0,0.01,75,512,True,False,softmax,True,True,sigmoid,36,12,linear,softmax,0.01,0.01,40,26,944.229614258,0.0,0.508741021156,0.0,944.229553223,0.0,0.510416686535,0.0,0.0,0.0
rmsprop,3.0,0.01,75,128,True,False,sigmoid,True,False,sigmoid,38,18,linear,relu,0.0,0.01,30,26,51.9013442993,0.49068570137,0.49068570137,1.0,51.9014129639,0.490335047245,0.490335047245,1.0,0.658335557816,0.658019883719
adam,3.0,0.001,100,1024,True,True,softmax,False,False,sigmoid,26,9,tanh,linear,0.01,0.01,20,32,0.692879080772,0.0,0.508853077888,0.0,0.692911803722,0.0,0.510416686535,0.0,0.0,0.0
adam,3.0,0.001,100,256,True,False,softmax,False,True,sigmoid,32,15,linear,linear,0.0,0.01,60,26,33.2139854431,0.0,0.509221315384,0.0,33.213924408,0.0,0.510416686535,0.0,0.0,0.0
rmsprop,3.0,0.001,100,256,True,True,relu,True,False,sigmoid,38,3,tanh,sigmoid,0.0001,0.001,60,42,1.15551829338,0.530020833015,0.55154967308,0.762931287289,1.1600331068,0.524767279625,0.54549151659,0.758976042271,0.640244347044,0.634764719968
adam,3.0,0.001,100,512,True,True,sigmoid,True,True,sigmoid,24,9,linear,softmax,0.001,0.1,20,42,13.1772594452,0.0,0.50898116827,0.0,13.1772375107,0.0,0.510416686535,0.0,0.0,0.0
sgd,3.0,0.001,100,512,True,True,sigmoid,True,True,sigmoid,30,15,relu,relu,0.01,0.1,60,38,14.7152013779,0.0,0.509029209614,0.0,14.7151498795,0.0,0.510416686535,0.0,0.0,0.0
adam,3.0,0.001,100,512,True,False,sigmoid,True,True,sigmoid,30,3,relu,linear,0.0001,0.0001,60,30,1.32398235798,1.0,0.50917327404,3.261578604e-05,1.3239184618,0.0,0.510416686535,0.0,6.52273938506e-05,0.0
adam,3.0,0.001,100,512,True,True,tanh,False,True,sigmoid,28,12,tanh,tanh,0.0001,0.1,60,34,17.4469051361,0.496661603451,0.506483733654,0.383220851421,17.4472064972,0.486975252628,0.50056964159,0.375997334719,0.436313650391,0.429431763153
adam,3.0,0.01,100,512,False,False,sigmoid,True,True,sigmoid,30,3,relu,relu,0.0001,0.001,20,36,9.35276603699,0.459016382694,0.508821070194,0.000912765681278,9.35241127014,0.444444447756,0.51033526659,0.000664893595967,0.00182226243619,0.0013280569244
sgd,3.0,0.1,75,1536,False,True,tanh,True,False,sigmoid,26,3,softmax,relu,0.01,0.1,40,38,0.692858874798,0.0,0.509456396103,0.0,0.692810058594,0.0,0.510416686535,0.0,0.0,0.0
