batch_size,epochs,learning_rate,num_channels,optimizer,bottleneck_size,kernel_size,module_activation,module_output_activation,nr_modules,num_filters,output_activation,shortcut_activation,use_bottleneck,use_residuals,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
512,250,1e-05,3,sgd,40,30,relu,relu,12,26,sigmoid,sigmoid,True,True,0.669486403465271,0.663026750087738,0.663026750087738,1.0,0.6706448197364807,0.6560997366905212,0.6560997366905212,1.0
512,300,0.1,3,adam,24,50,relu,sigmoid,3,40,sigmoid,sigmoid,False,False,1.6325945854187012,0.6624644994735718,0.6624644994735718,1.0,1.6630549430847168,0.6560997366905212,0.6560997366905212,1.0
512,200,0.001,3,adam,40,30,linear,tanh,1,40,sigmoid,relu,True,False,0.5500077605247498,0.664713442325592,0.6645655632019043,0.994631826877594,0.5852032899856567,0.6557701230049133,0.6517428159713745,0.987634539604187
256,200,0.1,3,sgd,40,20,softmax,linear,9,38,sigmoid,sigmoid,False,False,0.6468814015388489,0.6616654992103577,0.6616654992103577,1.0,0.652022659778595,0.6560997366905212,0.6560997366905212,1.0
128,250,1e-05,3,adam,26,50,softmax,linear,12,38,sigmoid,sigmoid,False,True,0.4111863076686859,0.9858229756355286,0.8065222501754761,0.7180598974227905,0.4837344288825989,0.96484375,0.7729867696762085,0.6787267923355103
128,350,0.0001,3,adam,40,30,relu,softmax,9,32,sigmoid,softmax,False,True,0.6338580250740051,0.6621389389038086,0.6621389389038086,1.0,0.6396602988243103,0.6560997366905212,0.6560997366905212,1.0
128,250,0.01,3,sgd,38,20,linear,linear,12,40,sigmoid,tanh,True,True,0.7089895606040955,0.9848569631576538,0.5422585010528564,0.3137955665588379,0.7164212465286255,0.9837398529052734,0.5405648946762085,0.3047859072685241
512,350,0.1,3,rmsprop,24,40,relu,relu,1,38,sigmoid,relu,True,False,0.4736829400062561,0.6656222939491272,0.6665186882019043,0.9971837401390076,0.5123205780982971,0.6571342349052429,0.6559495329856873,0.99450421333313
512,350,0.1,3,sgd,40,40,tanh,relu,1,26,sigmoid,softmax,False,True,0.1405121237039566,0.979020357131958,0.9758522510528564,0.9846222400665284,0.3665401041507721,0.8987224102020264,0.8596754670143127,0.8859629034996033
1024,200,0.0001,3,rmsprop,24,30,sigmoid,tanh,3,28,sigmoid,tanh,True,False,0.2144607007503509,0.8824118375778198,0.9034090638160706,0.985380232334137,0.4058914184570312,0.8183606266975403,0.8181965947151184,0.929032266139984
